gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000127616	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	19p13.2	protein_coding	33	1131	2.92	583	16508	3.53	1342	319	23.77	29	2.16	39	Cancer Gene Census
ENSG00000183454	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	16p13.2	protein_coding	33	1131	2.92	776	16508	4.70	1342	36	2.68	60	4.47	39	Cancer Gene Census
ENSG00000196367	TRRAP	transformation/transcription domain associated protein	7q22.1	protein_coding	32	1131	2.83	754	16508	4.57	1342	781	58.20	6	0.45	44	Cancer Gene Census
ENSG00000198822	GRM3	glutamate metabotropic receptor 3	7q21.11, 7q21.12	protein_coding	32	1131	2.83	532	16508	3.22	1342	764	56.93	6	0.45	32	Cancer Gene Census
ENSG00000179295	PTPN11	protein tyrosine phosphatase non-receptor type 11	12q24.13	protein_coding	30	1131	2.65	341	16508	2.07	1342	52	3.87	72	5.37	26	Cancer Gene Census
ENSG00000029534	ANK1	ankyrin 1	8p11.21	protein_coding	29	1131	2.56	709	16508	4.29	1342	60	4.47	55	4.10	36	Cancer Gene Census
ENSG00000055609	KMT2C	lysine methyltransferase 2C	7q36.1	protein_coding	29	1131	2.56	1063	16508	6.44	1342	793	59.09	12	0.89	46	Cancer Gene Census
ENSG00000168702	LRP1B	LDL receptor related protein 1B	2q22.1, 2q22.2	protein_coding	29	1131	2.56	1784	16508	10.81	1342	29	2.16	42	3.13	49	Cancer Gene Census
ENSG00000198354	DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	Xq25	protein_coding	28	1131	2.48	394	16508	2.39	1342	0	0.00	0	0.00	25	Cancer Gene Census
ENSG00000037280	FLT4	fms related receptor tyrosine kinase 4	5q35.3	protein_coding	26	1131	2.30	477	16508	2.89	1342	56	4.17	88	6.56	27	Cancer Gene Census
ENSG00000101972	STAG2	stromal antigen 2	Xq25	protein_coding	26	1131	2.30	400	16508	2.42	1342	0	0.00	0	0.00	28	Cancer Gene Census
ENSG00000181555	SETD2	SET domain containing 2, histone lysine methyltransferase	3p21.31	protein_coding	26	1131	2.30	636	16508	3.85	1342	45	3.35	100	7.45	38	Cancer Gene Census
ENSG00000184634	MED12	mediator complex subunit 12	Xq13.1	protein_coding	26	1131	2.30	561	16508	3.40	1342	0	0.00	0	0.00	33	Cancer Gene Census
ENSG00000145113	MUC4	mucin 4, cell surface associated	3q29	protein_coding	25	1131	2.21	637	16508	3.86	1342	66	4.92	105	7.82	36	Cancer Gene Census
ENSG00000196924	FLNA	filamin A	Xq28	protein_coding	25	1131	2.21	590	16508	3.57	1342	0	0.00	0	0.00	34	Cancer Gene Census
ENSG00000083857	FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	24	1131	2.12	1069	16508	6.48	1342	21	1.56	186	13.86	38	Cancer Gene Census
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	1p36.11	protein_coding	24	1131	2.12	1154	16508	6.99	1342	59	4.40	245	18.26	29	Cancer Gene Census
ENSG00000167548	KMT2D	lysine methyltransferase 2D	12q13.12	protein_coding	24	1131	2.12	1336	16508	8.09	1342	57	4.25	110	8.20	35	Cancer Gene Census
ENSG00000099949	LZTR1	leucine zipper like transcription regulator 1	22q11.21	protein_coding	23	1131	2.03	276	16508	1.67	1342	34	2.53	246	18.33	24	Cancer Gene Census
ENSG00000133392	MYH11	myosin heavy chain 11	16p13.11	protein_coding	23	1131	2.03	570	16508	3.45	1342	31	2.31	67	4.99	21	Cancer Gene Census
ENSG00000182054	IDH2	isocitrate dehydrogenase (NADP(+)) 2	15q26.1	protein_coding	23	1131	2.03	146	16508	0.88	1342	28	2.09	146	10.88	9	Cancer Gene Census
ENSG00000081237	PTPRC	protein tyrosine phosphatase receptor type C	1q31.3, 1q32.1	protein_coding	22	1131	1.95	491	16508	2.97	1342	90	6.71	25	1.86	22	Cancer Gene Census
ENSG00000128052	KDR	kinase insert domain receptor	4q12	protein_coding	22	1131	1.95	503	16508	3.05	1342	97	7.23	68	5.07	23	Cancer Gene Census
ENSG00000139219	COL2A1	collagen type II alpha 1 chain	12q13.11	protein_coding	22	1131	1.95	410	16508	2.48	1342	54	4.02	112	8.35	23	Cancer Gene Census
ENSG00000163520	FBLN2	fibulin 2	3p25.1	protein_coding	21	1131	1.86	285	16508	1.73	1342	57	4.25	72	5.37	21	Cancer Gene Census
ENSG00000165323	FAT3	FAT atypical cadherin 3	11q14.3	protein_coding	21	1131	1.86	1438	16508	8.71	1342	57	4.25	77	5.74	30	Cancer Gene Census
ENSG00000047936	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6q22.1	protein_coding	20	1131	1.77	611	16508	3.70	1342	13	0.97	240	17.88	24	Cancer Gene Census
ENSG00000085276	MECOM	MDS1 and EVI1 complex locus	3q26.2	protein_coding	20	1131	1.77	444	16508	2.69	1342	65	4.84	55	4.10	30	Cancer Gene Census
ENSG00000127329	PTPRB	protein tyrosine phosphatase receptor type B	12q15	protein_coding	20	1131	1.77	633	16508	3.83	1342	67	4.99	86	6.41	20	Cancer Gene Census
ENSG00000127914	AKAP9	A-kinase anchoring protein 9	7q21.2	protein_coding	20	1131	1.77	660	16508	4.00	1342	778	57.97	6	0.45	32	Cancer Gene Census
ENSG00000198173	FAM47C	family with sequence similarity 47 member C	Xp21.1	protein_coding	20	1131	1.77	635	16508	3.85	1342	0	0.00	0	0.00	21	Cancer Gene Census
ENSG00000005339	CREBBP	CREB binding protein	16p13.3	protein_coding	19	1131	1.68	777	16508	4.71	1342	38	2.83	63	4.69	27	Cancer Gene Census
ENSG00000116062	MSH6	mutS homolog 6	2p16.3	protein_coding	19	1131	1.68	318	16508	1.93	1342	34	2.53	41	3.06	21	Cancer Gene Census
ENSG00000140262	TCF12	transcription factor 12	15q21.3	protein_coding	19	1131	1.68	191	16508	1.16	1342	20	1.49	193	14.38	21	Cancer Gene Census
ENSG00000187323	DCC	DCC netrin 1 receptor	18q21.2	protein_coding	19	1131	1.68	750	16508	4.54	1342	54	4.02	121	9.02	23	Cancer Gene Census
ENSG00000072501	SMC1A	structural maintenance of chromosomes 1A	Xp11.22	protein_coding	18	1131	1.59	269	16508	1.63	1342	0	0.00	0	0.00	22	Cancer Gene Census
ENSG00000119772	DNMT3A	DNA methyltransferase 3 alpha	2p23.3	protein_coding	18	1131	1.59	338	16508	2.05	1342	35	2.61	57	4.25	17	Cancer Gene Census
ENSG00000119866	BCL11A	BAF chromatin remodeling complex subunit BCL11A	2p16.1	protein_coding	18	1131	1.59	384	16508	2.33	1342	30	2.24	42	3.13	19	Cancer Gene Census
ENSG00000122406	RPL5	ribosomal protein L5	1p22.1	protein_coding	18	1131	1.59	161	16508	0.98	1342	62	4.62	249	18.55	18	Cancer Gene Census
ENSG00000139618	BRCA2	BRCA2 DNA repair associated	13q13.1	protein_coding	18	1131	1.59	569	16508	3.45	1342	16	1.19	327	24.37	33	Cancer Gene Census
ENSG00000165238	WNK2	WNK lysine deficient protein kinase 2	9q22.31	protein_coding	18	1131	1.59	464	16508	2.81	1342	77	5.74	98	7.30	18	Cancer Gene Census
ENSG00000189079	ARID2	AT-rich interaction domain 2	12q12	protein_coding	18	1131	1.59	529	16508	3.20	1342	51	3.80	121	9.02	24	Cancer Gene Census
ENSG00000198286	CARD11	caspase recruitment domain family member 11	7p22.2	protein_coding	18	1131	1.59	485	16508	2.94	1342	702	52.31	22	1.64	18	Cancer Gene Census
ENSG00000090659	CD209	CD209 molecule	19p13.2	protein_coding	17	1131	1.50	132	16508	0.80	1342	304	22.65	29	2.16	14	Cancer Gene Census
ENSG00000101115	SALL4	spalt like transcription factor 4	20q13.2	protein_coding	17	1131	1.50	374	16508	2.27	1342	282	21.01	19	1.42	20	Cancer Gene Census
ENSG00000134250	NOTCH2	notch receptor 2	1p12	protein_coding	17	1131	1.50	431	16508	2.61	1342	59	4.40	203	15.13	22	Cancer Gene Census
ENSG00000157388	CACNA1D	calcium voltage-gated channel subunit alpha1 D	3p21.1	protein_coding	17	1131	1.50	512	16508	3.10	1342	43	3.20	101	7.53	21	Cancer Gene Census
ENSG00000157404	KIT	KIT proto-oncogene, receptor tyrosine kinase	4q12	protein_coding	17	1131	1.50	338	16508	2.05	1342	120	8.94	65	4.84	17	Cancer Gene Census
ENSG00000157764	BRAF	B-Raf proto-oncogene, serine/threonine kinase	7q34	protein_coding	17	1131	1.50	964	16508	5.84	1342	793	59.09	14	1.04	10	Cancer Gene Census
ENSG00000163939	PBRM1	polybromo 1	3p21.1	protein_coding	17	1131	1.50	580	16508	3.51	1342	47	3.50	103	7.68	21	Cancer Gene Census
ENSG00000164362	TERT	telomerase reverse transcriptase	5p15.33	protein_coding	17	1131	1.50	258	16508	1.56	1342	67	4.99	86	6.41	21	Cancer Gene Census
ENSG00000168542	COL3A1	collagen type III alpha 1 chain	2q32.2	protein_coding	17	1131	1.50	587	16508	3.56	1342	30	2.24	42	3.13	17	Cancer Gene Census
ENSG00000196090	PTPRT	protein tyrosine phosphatase receptor type T	20q12, 20q13.11	protein_coding	17	1131	1.50	812	16508	4.92	1342	275	20.49	16	1.19	20	Cancer Gene Census
ENSG00000085185	BCORL1	BCL6 corepressor like 1	Xq26.1	protein_coding	16	1131	1.41	517	16508	3.13	1342	0	0.00	0	0.00	20	Cancer Gene Census
ENSG00000095015	MAP3K1	mitogen-activated protein kinase kinase kinase 1	5q11.2	protein_coding	16	1131	1.41	385	16508	2.33	1342	47	3.50	50	3.73	17	Cancer Gene Census
ENSG00000149311	ATM	ATM serine/threonine kinase	11q22.3	protein_coding	16	1131	1.41	761	16508	4.61	1342	60	4.47	84	6.26	26	Cancer Gene Census
ENSG00000153707	PTPRD	protein tyrosine phosphatase receptor type D	9p24.1, 9p23	protein_coding	16	1131	1.41	767	16508	4.65	1342	36	2.68	444	33.08	23	Cancer Gene Census
ENSG00000182162	P2RY8	P2Y receptor family member 8	Xp22.33	protein_coding	16	1131	1.41	232	16508	1.41	1342	0	0.00	0	0.00	16	Cancer Gene Census
ENSG00000185008	ROBO2	roundabout guidance receptor 2	3p12.3	protein_coding	16	1131	1.41	670	16508	4.06	1342	41	3.06	80	5.96	19	Cancer Gene Census
ENSG00000198793	MTOR	mechanistic target of rapamycin kinase	1p36.22	protein_coding	16	1131	1.41	517	16508	3.13	1342	54	4.02	295	21.98	17	Cancer Gene Census
ENSG00000104517	UBR5	ubiquitin protein ligase E3 component n-recognin 5	8q22.3	protein_coding	15	1131	1.33	560	16508	3.39	1342	116	8.64	43	3.20	22	Cancer Gene Census
ENSG00000108821	COL1A1	collagen type I alpha 1 chain	17q21.33	protein_coding	15	1131	1.33	384	16508	2.33	1342	51	3.80	47	3.50	20	Cancer Gene Census
ENSG00000111087	GLI1	GLI family zinc finger 1	12q13.3	protein_coding	15	1131	1.33	328	16508	1.99	1342	109	8.12	87	6.48	17	Cancer Gene Census
ENSG00000124181	PLCG1	phospholipase C gamma 1	20q12	protein_coding	15	1131	1.33	255	16508	1.54	1342	283	21.09	17	1.27	13	Cancer Gene Census
ENSG00000127152	BCL11B	BAF chromatin remodeling complex subunit BCL11B	14q32.2	protein_coding	15	1131	1.33	352	16508	2.13	1342	10	0.75	288	21.46	17	Cancer Gene Census
ENSG00000147130	ZMYM3	zinc finger MYM-type containing 3	Xq13.1	protein_coding	15	1131	1.33	323	16508	1.96	1342	0	0.00	0	0.00	17	Cancer Gene Census
ENSG00000147724	FAM135B	family with sequence similarity 135 member B	8q24.23	protein_coding	15	1131	1.33	953	16508	5.77	1342	122	9.09	62	4.62	17	Cancer Gene Census
ENSG00000185811	IKZF1	IKAROS family zinc finger 1	7p12.2	protein_coding	15	1131	1.33	338	16508	2.05	1342	708	52.76	11	0.82	15	Cancer Gene Census
ENSG00000044524	EPHA3	EPH receptor A3	3p11.1	protein_coding	14	1131	1.24	526	16508	3.19	1342	41	3.06	72	5.37	14	Cancer Gene Census
ENSG00000046889	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	8q13.2	protein_coding	14	1131	1.24	699	16508	4.23	1342	74	5.51	54	4.02	20	Cancer Gene Census
ENSG00000049618	ARID1B	AT-rich interaction domain 1B	6q25.3	protein_coding	14	1131	1.24	479	16508	2.90	1342	13	0.97	260	19.37	18	Cancer Gene Census
ENSG00000051341	POLQ	DNA polymerase theta	3q13.33	protein_coding	14	1131	1.24	530	16508	3.21	1342	40	2.98	86	6.41	18	Cancer Gene Census
ENSG00000079112	CDH17	cadherin 17	8q22.1	protein_coding	14	1131	1.24	264	16508	1.60	1342	105	7.82	47	3.50	16	Cancer Gene Census
ENSG00000101096	NFATC2	nuclear factor of activated T cells 2	20q13.2	protein_coding	14	1131	1.24	327	16508	1.98	1342	284	21.16	21	1.56	17	Cancer Gene Census
ENSG00000118058	KMT2A	lysine methyltransferase 2A	11q23.3	protein_coding	14	1131	1.24	686	16508	4.16	1342	81	6.04	77	5.74	24	Cancer Gene Census
ENSG00000133124	IRS4	insulin receptor substrate 4	Xq22.3	protein_coding	14	1131	1.24	459	16508	2.78	1342	0	0.00	0	0.00	12	Cancer Gene Census
ENSG00000135333	EPHA7	EPH receptor A7	6q16.1	protein_coding	14	1131	1.24	422	16508	2.56	1342	12	0.89	199	14.83	16	Cancer Gene Census
ENSG00000140836	ZFHX3	zinc finger homeobox 3	16q22.2, 16q22.3	protein_coding	14	1131	1.24	838	16508	5.08	1342	28	2.09	111	8.27	25	Cancer Gene Census
ENSG00000141027	NCOR1	nuclear receptor corepressor 1	17p12, 17p11.2	protein_coding	14	1131	1.24	538	16508	3.26	1342	25	1.86	84	6.26	23	Cancer Gene Census
ENSG00000141968	VAV1	vav guanine nucleotide exchange factor 1	19p13.3	protein_coding	14	1131	1.24	277	16508	1.68	1342	296	22.06	32	2.38	16	Cancer Gene Census
ENSG00000156650	KAT6B	lysine acetyltransferase 6B	10q22.2	protein_coding	14	1131	1.24	349	16508	2.11	1342	5	0.37	754	56.18	21	Cancer Gene Census
ENSG00000169083	AR	androgen receptor	Xq12	protein_coding	14	1131	1.24	343	16508	2.08	1342	0	0.00	0	0.00	14	Cancer Gene Census
ENSG00000172915	NBEA	neurobeachin	13q13.3	protein_coding	14	1131	1.24	704	16508	4.26	1342	14	1.04	340	25.34	17	Cancer Gene Census
ENSG00000041982	TNC	tenascin C	9q33.1	protein_coding	13	1131	1.15	528	16508	3.20	1342	82	6.11	102	7.60	24	Cancer Gene Census
ENSG00000047410	TPR	translocated promoter region, nuclear basket protein	1q31.1	protein_coding	13	1131	1.15	464	16508	2.81	1342	91	6.78	22	1.64	20	Cancer Gene Census
ENSG00000066032	CTNNA2	catenin alpha 2	2p12	protein_coding	13	1131	1.15	670	16508	4.06	1342	28	2.09	38	2.83	13	Cancer Gene Census
ENSG00000073282	TP63	tumor protein p63	3q28	protein_coding	13	1131	1.15	402	16508	2.44	1342	67	4.99	91	6.78	14	Cancer Gene Census
ENSG00000105976	MET	MET proto-oncogene, receptor tyrosine kinase	7q31.2	protein_coding	13	1131	1.15	350	16508	2.12	1342	787	58.64	4	0.30	21	Cancer Gene Census
ENSG00000110844	PRPF40B	pre-mRNA processing factor 40 homolog B	12q13.12	protein_coding	13	1131	1.15	201	16508	1.22	1342	54	4.02	109	8.12	12	Cancer Gene Census
ENSG00000112531	QKI	QKI, KH domain containing RNA binding	6q26	protein_coding	13	1131	1.15	193	16508	1.17	1342	18	1.34	289	21.54	12	Cancer Gene Census
ENSG00000122025	FLT3	fms related receptor tyrosine kinase 3	13q12.2	protein_coding	13	1131	1.15	440	16508	2.67	1342	16	1.19	319	23.77	15	Cancer Gene Census
ENSG00000123080	CDKN2C	cyclin dependent kinase inhibitor 2C	1p32.3	protein_coding	13	1131	1.15	57	16508	0.35	1342	59	4.40	266	19.82	13	Cancer Gene Census
ENSG00000129204	USP6	ubiquitin specific peptidase 6	17p13.2	protein_coding	13	1131	1.15	348	16508	2.11	1342	18	1.34	96	7.15	17	Cancer Gene Census
ENSG00000144554	FANCD2	FA complementation group D2	3p25.3	protein_coding	13	1131	1.15	272	16508	1.65	1342	66	4.92	69	5.14	17	Cancer Gene Census
ENSG00000148584	A1CF	APOBEC1 complementation factor	10q11.23	protein_coding	13	1131	1.15	262	16508	1.59	1342	8	0.60	714	53.20	14	Cancer Gene Census
ENSG00000152217	SETBP1	SET binding protein 1	18q12.3	protein_coding	13	1131	1.15	534	16508	3.23	1342	56	4.17	117	8.72	15	Cancer Gene Census
ENSG00000157554	ERG	ETS transcription factor ERG	21q22.2	protein_coding	13	1131	1.15	217	16508	1.31	1342	60	4.47	73	5.44	13	Cancer Gene Census
ENSG00000159216	RUNX1	RUNX family transcription factor 1	21q22.12	protein_coding	13	1131	1.15	271	16508	1.64	1342	63	4.69	70	5.22	15	Cancer Gene Census
ENSG00000171456	ASXL1	ASXL transcriptional regulator 1	20q11.21	protein_coding	13	1131	1.15	405	16508	2.45	1342	280	20.86	12	0.89	15	Cancer Gene Census
ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1	1p36.31, 1p36.23	protein_coding	13	1131	1.15	482	16508	2.92	1342	48	3.58	378	28.17	20	Cancer Gene Census
ENSG00000175054	ATR	ATR serine/threonine kinase	3q23	protein_coding	13	1131	1.15	496	16508	3.00	1342	52	3.87	66	4.92	20	Cancer Gene Census
ENSG00000257923	CUX1	cut like homeobox 1	7q22.1	protein_coding	13	1131	1.15	491	16508	2.97	1342	775	57.75	6	0.45	17	Cancer Gene Census
ENSG00000067842	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	Xq28	protein_coding	12	1131	1.06	429	16508	2.60	1342	0	0.00	0	0.00	15	Cancer Gene Census
ENSG00000068323	TFE3	transcription factor binding to IGHM enhancer 3	Xp11.23	protein_coding	12	1131	1.06	203	16508	1.23	1342	0	0.00	0	0.00	6	Cancer Gene Census
ENSG00000100697	DICER1	dicer 1, ribonuclease III	14q32.13	protein_coding	12	1131	1.06	386	16508	2.34	1342	10	0.75	290	21.61	19	Cancer Gene Census
ENSG00000111642	CHD4	chromodomain helicase DNA binding protein 4	12p13.31	protein_coding	12	1131	1.06	556	16508	3.37	1342	133	9.91	49	3.65	14	Cancer Gene Census
ENSG00000112175	BMP5	bone morphogenetic protein 5	6p12.1	protein_coding	12	1131	1.06	262	16508	1.59	1342	18	1.34	83	6.18	15	Cancer Gene Census
ENSG00000140464	PML	PML nuclear body scaffold	15q24.1	protein_coding	12	1131	1.06	263	16508	1.59	1342	21	1.56	153	11.40	14	Cancer Gene Census
ENSG00000153201	RANBP2	RAN binding protein 2	2q13	protein_coding	12	1131	1.06	533	16508	3.23	1342	28	2.09	40	2.98	13	Cancer Gene Census
ENSG00000173821	RNF213	ring finger protein 213	17q25.3	protein_coding	12	1131	1.06	759	16508	4.60	1342	76	5.66	52	3.87	19	Cancer Gene Census
ENSG00000185920	PTCH1	patched 1	9q22.32	protein_coding	12	1131	1.06	388	16508	2.35	1342	79	5.89	99	7.38	14	Cancer Gene Census
ENSG00000103522	IL21R	interleukin 21 receptor	16p12.1	protein_coding	11	1131	0.97	241	16508	1.46	1342	27	2.01	83	6.18	13	Cancer Gene Census
ENSG00000115524	SF3B1	splicing factor 3b subunit 1	2q33.1	protein_coding	11	1131	0.97	366	16508	2.22	1342	31	2.31	38	2.83	13	Cancer Gene Census
ENSG00000115760	BIRC6	baculoviral IAP repeat containing 6	2p22.3	protein_coding	11	1131	0.97	760	16508	4.60	1342	38	2.83	46	3.43	24	Cancer Gene Census
ENSG00000116128	BCL9	BCL9 transcription coactivator	1q21.2	protein_coding	11	1131	0.97	340	16508	2.06	1342	86	6.41	22	1.64	12	Cancer Gene Census
ENSG00000121741	ZMYM2	zinc finger MYM-type containing 2	13q12.11	protein_coding	11	1131	0.97	290	16508	1.76	1342	21	1.56	296	22.06	15	Cancer Gene Census
ENSG00000122778	KIAA1549	KIAA1549	7q34	protein_coding	11	1131	0.97	469	16508	2.84	1342	794	59.17	12	0.89	19	Cancer Gene Census
ENSG00000135111	TBX3	T-box transcription factor 3	12q24.21	protein_coding	11	1131	0.97	282	16508	1.71	1342	56	4.17	73	5.44	11	Cancer Gene Census
ENSG00000139263	LRIG3	leucine rich repeats and immunoglobulin like domains 3	12q14.1	protein_coding	11	1131	0.97	246	16508	1.49	1342	82	6.11	102	7.60	14	Cancer Gene Census
ENSG00000140396	NCOA2	nuclear receptor coactivator 2	8q13.3	protein_coding	11	1131	0.97	308	16508	1.87	1342	75	5.59	54	4.02	11	Cancer Gene Census
ENSG00000142611	PRDM16	PR/SET domain 16	1p36.32	protein_coding	11	1131	0.97	380	16508	2.30	1342	54	4.02	308	22.95	15	Cancer Gene Census
ENSG00000147889	CDKN2A	cyclin dependent kinase inhibitor 2A	9p21.3	protein_coding	11	1131	0.97	578	16508	3.50	1342	27	2.01	749	55.81	10	Cancer Gene Census
ENSG00000150457	LATS2	large tumor suppressor kinase 2	13q12.11	protein_coding	11	1131	0.97	260	16508	1.57	1342	18	1.34	304	22.65	13	Cancer Gene Census
ENSG00000157168	NRG1	neuregulin 1	8p12	protein_coding	11	1131	0.97	449	16508	2.72	1342	55	4.10	77	5.74	15	Cancer Gene Census
ENSG00000157765	SLC34A2	solute carrier family 34 member 2	4p15.2	protein_coding	11	1131	0.97	258	16508	1.56	1342	26	1.94	85	6.33	12	Cancer Gene Census
ENSG00000160867	FGFR4	fibroblast growth factor receptor 4	5q35.2	protein_coding	11	1131	0.97	236	16508	1.43	1342	56	4.17	86	6.41	12	Cancer Gene Census
ENSG00000164330	EBF1	EBF transcription factor 1	5q33.3	protein_coding	11	1131	0.97	269	16508	1.63	1342	43	3.20	93	6.93	11	Cancer Gene Census
ENSG00000165699	TSC1	TSC complex subunit 1	9q34.13	protein_coding	11	1131	0.97	273	16508	1.65	1342	89	6.63	124	9.24	12	Cancer Gene Census
ENSG00000165731	RET	ret proto-oncogene	10q11.21	protein_coding	11	1131	0.97	365	16508	2.21	1342	14	1.04	713	53.13	14	Cancer Gene Census
ENSG00000167258	CDK12	cyclin dependent kinase 12	17q12	protein_coding	11	1131	0.97	371	16508	2.25	1342	36	2.68	81	6.04	14	Cancer Gene Census
ENSG00000173575	CHD2	chromodomain helicase DNA binding protein 2	15q26.1	protein_coding	11	1131	0.97	355	16508	2.15	1342	32	2.38	146	10.88	16	Cancer Gene Census
ENSG00000183508	TENT5C	terminal nucleotidyltransferase 5C	1p12	protein_coding	11	1131	0.97	219	16508	1.33	1342	60	4.47	213	15.87	10	Cancer Gene Census
ENSG00000185177	ZNF479	zinc finger protein 479	7p11.2	protein_coding	11	1131	0.97	389	16508	2.36	1342	708	52.76	6	0.45	13	Cancer Gene Census
ENSG00000198795	ZNF521	zinc finger protein 521	18q11.2	protein_coding	11	1131	0.97	537	16508	3.25	1342	61	4.55	104	7.75	15	Cancer Gene Census
ENSG00000010671	BTK	Bruton tyrosine kinase	Xq22.1	protein_coding	10	1131	0.88	243	16508	1.47	1342	0	0.00	0	0.00	11	Cancer Gene Census
ENSG00000039068	CDH1	cadherin 1	16q22.1	protein_coding	10	1131	0.88	406	16508	2.46	1342	32	2.38	103	7.68	15	Cancer Gene Census
ENSG00000073614	KDM5A	lysine demethylase 5A	12p13.33	protein_coding	10	1131	0.88	360	16508	2.18	1342	56	4.17	24	1.79	12	Cancer Gene Census
ENSG00000078177	N4BP2	NEDD4 binding protein 2	4p14	protein_coding	10	1131	0.88	305	16508	1.85	1342	32	2.38	86	6.41	10	Cancer Gene Census
ENSG00000100503	NIN	ninein	14q22.1	protein_coding	10	1131	0.88	385	16508	2.33	1342	14	1.04	262	19.52	12	Cancer Gene Census
ENSG00000100852	ARHGAP5	Rho GTPase activating protein 5	14q12	protein_coding	10	1131	0.88	360	16508	2.18	1342	19	1.42	280	20.86	11	Cancer Gene Census
