"gene_id","symbol","name","cytoband","type","num_cohort_ssm_affected_cases","num_cohort_ssm_cases","cohort_ssm_affected_cases_percentage","num_gdc_ssm_affected_cases","num_gdc_ssm_cases","gdc_ssm_affected_cases_percentage","num_cohort_cnv_cases","num_cohort_cnv_gain_cases","cohort_cnv_gain_cases_percentage","num_cohort_cnv_loss_cases","cohort_cnv_loss_cases_percentage","num_mutations","annotations","SSM_Affected_Cases_in_Cohort","CNV_Gain","CNV_Loss","SSM_Affected_Cases_Across_the_GDC"
"ENSG00000183454","GRIN2A","glutamate ionotropic receptor NMDA type subunit 2A","16p13.2","protein_coding",33,1131,2.92,776,16508,4.7,1342,36,2.68,60,4.47,39,"Cancer Gene Census","33 / 1131 (2.92%)","36 / 1342 (2.68%)","60 / 1342 (4.47%)","776 / 16508 (4.7%)"
"ENSG00000196367","TRRAP","transformation/transcription domain associated protein","7q22.1","protein_coding",32,1131,2.83,754,16508,4.57,1342,781,58.2,6,0.45,44,"Cancer Gene Census","32 / 1131 (2.83%)","781 / 1342 (58.2%)","6 / 1342 (0.45%)","754 / 16508 (4.57%)"
"ENSG00000198822","GRM3","glutamate metabotropic receptor 3","7q21.11, 7q21.12","protein_coding",32,1131,2.83,532,16508,3.22,1342,764,56.93,6,0.45,32,"Cancer Gene Census","32 / 1131 (2.83%)","764 / 1342 (56.93%)","6 / 1342 (0.45%)","532 / 16508 (3.22%)"
"ENSG00000179295","PTPN11","protein tyrosine phosphatase non-receptor type 11","12q24.13","protein_coding",30,1131,2.65,341,16508,2.07,1342,52,3.87,72,5.37,26,"Cancer Gene Census","30 / 1131 (2.65%)","52 / 1342 (3.87%)","72 / 1342 (5.37%)","341 / 16508 (2.07%)"
"ENSG00000029534","ANK1","ankyrin 1","8p11.21","protein_coding",29,1131,2.56,709,16508,4.29,1342,60,4.47,55,4.1,36,"Cancer Gene Census","29 / 1131 (2.56%)","60 / 1342 (4.47%)","55 / 1342 (4.1%)","709 / 16508 (4.29%)"
"ENSG00000055609","KMT2C","lysine methyltransferase 2C","7q36.1","protein_coding",29,1131,2.56,1063,16508,6.44,1342,793,59.09,12,0.89,46,"Cancer Gene Census","29 / 1131 (2.56%)","793 / 1342 (59.09%)","12 / 1342 (0.89%)","1063 / 16508 (6.44%)"
"ENSG00000168702","LRP1B","LDL receptor related protein 1B","2q22.1, 2q22.2","protein_coding",29,1131,2.56,1784,16508,10.81,1342,29,2.16,42,3.13,49,"Cancer Gene Census","29 / 1131 (2.56%)","29 / 1342 (2.16%)","42 / 1342 (3.13%)","1784 / 16508 (10.81%)"
"ENSG00000198354","DCAF12L2","DDB1 and CUL4 associated factor 12 like 2","Xq25","protein_coding",28,1131,2.48,394,16508,2.39,1342,0,0,0,0,25,"Cancer Gene Census","28 / 1131 (2.48%)","0 / 1342 (0%)","0 / 1342 (0%)","394 / 16508 (2.39%)"
"ENSG00000037280","FLT4","fms related receptor tyrosine kinase 4","5q35.3","protein_coding",26,1131,2.3,477,16508,2.89,1342,56,4.17,88,6.56,27,"Cancer Gene Census","26 / 1131 (2.3%)","56 / 1342 (4.17%)","88 / 1342 (6.56%)","477 / 16508 (2.89%)"
"ENSG00000101972","STAG2","stromal antigen 2","Xq25","protein_coding",26,1131,2.3,400,16508,2.42,1342,0,0,0,0,28,"Cancer Gene Census","26 / 1131 (2.3%)","0 / 1342 (0%)","0 / 1342 (0%)","400 / 16508 (2.42%)"
"ENSG00000181555","SETD2","SET domain containing 2, histone lysine methyltransferase","3p21.31","protein_coding",26,1131,2.3,636,16508,3.85,1342,45,3.35,100,7.45,38,"Cancer Gene Census","26 / 1131 (2.3%)","45 / 1342 (3.35%)","100 / 1342 (7.45%)","636 / 16508 (3.85%)"
"ENSG00000184634","MED12","mediator complex subunit 12","Xq13.1","protein_coding",26,1131,2.3,561,16508,3.4,1342,0,0,0,0,33,"Cancer Gene Census","26 / 1131 (2.3%)","0 / 1342 (0%)","0 / 1342 (0%)","561 / 16508 (3.4%)"
"ENSG00000145113","MUC4","mucin 4, cell surface associated","3q29","protein_coding",25,1131,2.21,637,16508,3.86,1342,66,4.92,105,7.82,36,"Cancer Gene Census","25 / 1131 (2.21%)","66 / 1342 (4.92%)","105 / 1342 (7.82%)","637 / 16508 (3.86%)"
"ENSG00000196924","FLNA","filamin A","Xq28","protein_coding",25,1131,2.21,590,16508,3.57,1342,0,0,0,0,34,"Cancer Gene Census","25 / 1131 (2.21%)","0 / 1342 (0%)","0 / 1342 (0%)","590 / 16508 (3.57%)"
"ENSG00000083857","FAT1","FAT atypical cadherin 1","4q35.2","protein_coding",24,1131,2.12,1069,16508,6.48,1342,21,1.56,186,13.86,38,"Cancer Gene Census","24 / 1131 (2.12%)","21 / 1342 (1.56%)","186 / 1342 (13.86%)","1069 / 16508 (6.48%)"
"ENSG00000117713","ARID1A","AT-rich interaction domain 1A","1p36.11","protein_coding",24,1131,2.12,1154,16508,6.99,1342,59,4.4,245,18.26,29,"Cancer Gene Census","24 / 1131 (2.12%)","59 / 1342 (4.4%)","245 / 1342 (18.26%)","1154 / 16508 (6.99%)"
"ENSG00000167548","KMT2D","lysine methyltransferase 2D","12q13.12","protein_coding",24,1131,2.12,1336,16508,8.09,1342,57,4.25,110,8.2,35,"Cancer Gene Census","24 / 1131 (2.12%)","57 / 1342 (4.25%)","110 / 1342 (8.2%)","1336 / 16508 (8.09%)"
"ENSG00000099949","LZTR1","leucine zipper like transcription regulator 1","22q11.21","protein_coding",23,1131,2.03,276,16508,1.67,1342,34,2.53,246,18.33,24,"Cancer Gene Census","23 / 1131 (2.03%)","34 / 1342 (2.53%)","246 / 1342 (18.33%)","276 / 16508 (1.67%)"
"ENSG00000133392","MYH11","myosin heavy chain 11","16p13.11","protein_coding",23,1131,2.03,570,16508,3.45,1342,31,2.31,67,4.99,21,"Cancer Gene Census","23 / 1131 (2.03%)","31 / 1342 (2.31%)","67 / 1342 (4.99%)","570 / 16508 (3.45%)"
"ENSG00000182054","IDH2","isocitrate dehydrogenase (NADP(+)) 2","15q26.1","protein_coding",23,1131,2.03,146,16508,0.88,1342,28,2.09,146,10.88,9,"Cancer Gene Census","23 / 1131 (2.03%)","28 / 1342 (2.09%)","146 / 1342 (10.88%)","146 / 16508 (0.88%)"
"ENSG00000081237","PTPRC","protein tyrosine phosphatase receptor type C","1q31.3, 1q32.1","protein_coding",22,1131,1.95,491,16508,2.97,1342,90,6.71,25,1.86,22,"Cancer Gene Census","22 / 1131 (1.95%)","90 / 1342 (6.71%)","25 / 1342 (1.86%)","491 / 16508 (2.97%)"
"ENSG00000128052","KDR","kinase insert domain receptor","4q12","protein_coding",22,1131,1.95,503,16508,3.05,1342,97,7.23,68,5.07,23,"Cancer Gene Census","22 / 1131 (1.95%)","97 / 1342 (7.23%)","68 / 1342 (5.07%)","503 / 16508 (3.05%)"
"ENSG00000139219","COL2A1","collagen type II alpha 1 chain","12q13.11","protein_coding",22,1131,1.95,410,16508,2.48,1342,54,4.02,112,8.35,23,"Cancer Gene Census","22 / 1131 (1.95%)","54 / 1342 (4.02%)","112 / 1342 (8.35%)","410 / 16508 (2.48%)"
"ENSG00000163520","FBLN2","fibulin 2","3p25.1","protein_coding",21,1131,1.86,285,16508,1.73,1342,57,4.25,72,5.37,21,"Cancer Gene Census","21 / 1131 (1.86%)","57 / 1342 (4.25%)","72 / 1342 (5.37%)","285 / 16508 (1.73%)"
"ENSG00000165323","FAT3","FAT atypical cadherin 3","11q14.3","protein_coding",21,1131,1.86,1438,16508,8.71,1342,57,4.25,77,5.74,30,"Cancer Gene Census","21 / 1131 (1.86%)","57 / 1342 (4.25%)","77 / 1342 (5.74%)","1438 / 16508 (8.71%)"
"ENSG00000047936","ROS1","ROS proto-oncogene 1, receptor tyrosine kinase","6q22.1","protein_coding",20,1131,1.77,611,16508,3.7,1342,13,0.97,240,17.88,24,"Cancer Gene Census","20 / 1131 (1.77%)","13 / 1342 (0.97%)","240 / 1342 (17.88%)","611 / 16508 (3.7%)"
"ENSG00000085276","MECOM","MDS1 and EVI1 complex locus","3q26.2","protein_coding",20,1131,1.77,444,16508,2.69,1342,65,4.84,55,4.1,30,"Cancer Gene Census","20 / 1131 (1.77%)","65 / 1342 (4.84%)","55 / 1342 (4.1%)","444 / 16508 (2.69%)"
"ENSG00000127329","PTPRB","protein tyrosine phosphatase receptor type B","12q15","protein_coding",20,1131,1.77,633,16508,3.83,1342,67,4.99,86,6.41,20,"Cancer Gene Census","20 / 1131 (1.77%)","67 / 1342 (4.99%)","86 / 1342 (6.41%)","633 / 16508 (3.83%)"
"ENSG00000127914","AKAP9","A-kinase anchoring protein 9","7q21.2","protein_coding",20,1131,1.77,660,16508,4,1342,778,57.97,6,0.45,32,"Cancer Gene Census","20 / 1131 (1.77%)","778 / 1342 (57.97%)","6 / 1342 (0.45%)","660 / 16508 (4%)"
"ENSG00000198173","FAM47C","family with sequence similarity 47 member C","Xp21.1","protein_coding",20,1131,1.77,635,16508,3.85,1342,0,0,0,0,21,"Cancer Gene Census","20 / 1131 (1.77%)","0 / 1342 (0%)","0 / 1342 (0%)","635 / 16508 (3.85%)"
"ENSG00000005339","CREBBP","CREB binding protein","16p13.3","protein_coding",19,1131,1.68,777,16508,4.71,1342,38,2.83,63,4.69,27,"Cancer Gene Census","19 / 1131 (1.68%)","38 / 1342 (2.83%)","63 / 1342 (4.69%)","777 / 16508 (4.71%)"
"ENSG00000116062","MSH6","mutS homolog 6","2p16.3","protein_coding",19,1131,1.68,318,16508,1.93,1342,34,2.53,41,3.06,21,"Cancer Gene Census","19 / 1131 (1.68%)","34 / 1342 (2.53%)","41 / 1342 (3.06%)","318 / 16508 (1.93%)"
"ENSG00000140262","TCF12","transcription factor 12","15q21.3","protein_coding",19,1131,1.68,191,16508,1.16,1342,20,1.49,193,14.38,21,"Cancer Gene Census","19 / 1131 (1.68%)","20 / 1342 (1.49%)","193 / 1342 (14.38%)","191 / 16508 (1.16%)"
"ENSG00000187323","DCC","DCC netrin 1 receptor","18q21.2","protein_coding",19,1131,1.68,750,16508,4.54,1342,54,4.02,121,9.02,23,"Cancer Gene Census","19 / 1131 (1.68%)","54 / 1342 (4.02%)","121 / 1342 (9.02%)","750 / 16508 (4.54%)"
"ENSG00000072501","SMC1A","structural maintenance of chromosomes 1A","Xp11.22","protein_coding",18,1131,1.59,269,16508,1.63,1342,0,0,0,0,22,"Cancer Gene Census","18 / 1131 (1.59%)","0 / 1342 (0%)","0 / 1342 (0%)","269 / 16508 (1.63%)"
"ENSG00000119772","DNMT3A","DNA methyltransferase 3 alpha","2p23.3","protein_coding",18,1131,1.59,338,16508,2.05,1342,35,2.61,57,4.25,17,"Cancer Gene Census","18 / 1131 (1.59%)","35 / 1342 (2.61%)","57 / 1342 (4.25%)","338 / 16508 (2.05%)"
"ENSG00000119866","BCL11A","BAF chromatin remodeling complex subunit BCL11A","2p16.1","protein_coding",18,1131,1.59,384,16508,2.33,1342,30,2.24,42,3.13,19,"Cancer Gene Census","18 / 1131 (1.59%)","30 / 1342 (2.24%)","42 / 1342 (3.13%)","384 / 16508 (2.33%)"
"ENSG00000122406","RPL5","ribosomal protein L5","1p22.1","protein_coding",18,1131,1.59,161,16508,0.98,1342,62,4.62,249,18.55,18,"Cancer Gene Census","18 / 1131 (1.59%)","62 / 1342 (4.62%)","249 / 1342 (18.55%)","161 / 16508 (0.98%)"
"ENSG00000139618","BRCA2","BRCA2 DNA repair associated","13q13.1","protein_coding",18,1131,1.59,569,16508,3.45,1342,16,1.19,327,24.37,33,"Cancer Gene Census","18 / 1131 (1.59%)","16 / 1342 (1.19%)","327 / 1342 (24.37%)","569 / 16508 (3.45%)"
"ENSG00000165238","WNK2","WNK lysine deficient protein kinase 2","9q22.31","protein_coding",18,1131,1.59,464,16508,2.81,1342,77,5.74,98,7.3,18,"Cancer Gene Census","18 / 1131 (1.59%)","77 / 1342 (5.74%)","98 / 1342 (7.3%)","464 / 16508 (2.81%)"
"ENSG00000189079","ARID2","AT-rich interaction domain 2","12q12","protein_coding",18,1131,1.59,529,16508,3.2,1342,51,3.8,121,9.02,24,"Cancer Gene Census","18 / 1131 (1.59%)","51 / 1342 (3.8%)","121 / 1342 (9.02%)","529 / 16508 (3.2%)"
"ENSG00000198286","CARD11","caspase recruitment domain family member 11","7p22.2","protein_coding",18,1131,1.59,485,16508,2.94,1342,702,52.31,22,1.64,18,"Cancer Gene Census","18 / 1131 (1.59%)","702 / 1342 (52.31%)","22 / 1342 (1.64%)","485 / 16508 (2.94%)"
"ENSG00000090659","CD209","CD209 molecule","19p13.2","protein_coding",17,1131,1.5,132,16508,0.8,1342,304,22.65,29,2.16,14,"Cancer Gene Census","17 / 1131 (1.5%)","304 / 1342 (22.65%)","29 / 1342 (2.16%)","132 / 16508 (0.8%)"
"ENSG00000101115","SALL4","spalt like transcription factor 4","20q13.2","protein_coding",17,1131,1.5,374,16508,2.27,1342,282,21.01,19,1.42,20,"Cancer Gene Census","17 / 1131 (1.5%)","282 / 1342 (21.01%)","19 / 1342 (1.42%)","374 / 16508 (2.27%)"
"ENSG00000134250","NOTCH2","notch receptor 2","1p12","protein_coding",17,1131,1.5,431,16508,2.61,1342,59,4.4,203,15.13,22,"Cancer Gene Census","17 / 1131 (1.5%)","59 / 1342 (4.4%)","203 / 1342 (15.13%)","431 / 16508 (2.61%)"
"ENSG00000157388","CACNA1D","calcium voltage-gated channel subunit alpha1 D","3p21.1","protein_coding",17,1131,1.5,512,16508,3.1,1342,43,3.2,101,7.53,21,"Cancer Gene Census","17 / 1131 (1.5%)","43 / 1342 (3.2%)","101 / 1342 (7.53%)","512 / 16508 (3.1%)"
"ENSG00000157404","KIT","KIT proto-oncogene, receptor tyrosine kinase","4q12","protein_coding",17,1131,1.5,338,16508,2.05,1342,120,8.94,65,4.84,17,"Cancer Gene Census","17 / 1131 (1.5%)","120 / 1342 (8.94%)","65 / 1342 (4.84%)","338 / 16508 (2.05%)"
"ENSG00000157764","BRAF","B-Raf proto-oncogene, serine/threonine kinase","7q34","protein_coding",17,1131,1.5,964,16508,5.84,1342,793,59.09,14,1.04,10,"Cancer Gene Census","17 / 1131 (1.5%)","793 / 1342 (59.09%)","14 / 1342 (1.04%)","964 / 16508 (5.84%)"
"ENSG00000163939","PBRM1","polybromo 1","3p21.1","protein_coding",17,1131,1.5,580,16508,3.51,1342,47,3.5,103,7.68,21,"Cancer Gene Census","17 / 1131 (1.5%)","47 / 1342 (3.5%)","103 / 1342 (7.68%)","580 / 16508 (3.51%)"
"ENSG00000164362","TERT","telomerase reverse transcriptase","5p15.33","protein_coding",17,1131,1.5,258,16508,1.56,1342,67,4.99,86,6.41,21,"Cancer Gene Census","17 / 1131 (1.5%)","67 / 1342 (4.99%)","86 / 1342 (6.41%)","258 / 16508 (1.56%)"
"ENSG00000168542","COL3A1","collagen type III alpha 1 chain","2q32.2","protein_coding",17,1131,1.5,587,16508,3.56,1342,30,2.24,42,3.13,17,"Cancer Gene Census","17 / 1131 (1.5%)","30 / 1342 (2.24%)","42 / 1342 (3.13%)","587 / 16508 (3.56%)"
"ENSG00000196090","PTPRT","protein tyrosine phosphatase receptor type T","20q12, 20q13.11","protein_coding",17,1131,1.5,812,16508,4.92,1342,275,20.49,16,1.19,20,"Cancer Gene Census","17 / 1131 (1.5%)","275 / 1342 (20.49%)","16 / 1342 (1.19%)","812 / 16508 (4.92%)"
"ENSG00000085185","BCORL1","BCL6 corepressor like 1","Xq26.1","protein_coding",16,1131,1.41,517,16508,3.13,1342,0,0,0,0,20,"Cancer Gene Census","16 / 1131 (1.41%)","0 / 1342 (0%)","0 / 1342 (0%)","517 / 16508 (3.13%)"
"ENSG00000095015","MAP3K1","mitogen-activated protein kinase kinase kinase 1","5q11.2","protein_coding",16,1131,1.41,385,16508,2.33,1342,47,3.5,50,3.73,17,"Cancer Gene Census","16 / 1131 (1.41%)","47 / 1342 (3.5%)","50 / 1342 (3.73%)","385 / 16508 (2.33%)"
"ENSG00000149311","ATM","ATM serine/threonine kinase","11q22.3","protein_coding",16,1131,1.41,761,16508,4.61,1342,60,4.47,84,6.26,26,"Cancer Gene Census","16 / 1131 (1.41%)","60 / 1342 (4.47%)","84 / 1342 (6.26%)","761 / 16508 (4.61%)"
"ENSG00000153707","PTPRD","protein tyrosine phosphatase receptor type D","9p24.1, 9p23","protein_coding",16,1131,1.41,767,16508,4.65,1342,36,2.68,444,33.08,23,"Cancer Gene Census","16 / 1131 (1.41%)","36 / 1342 (2.68%)","444 / 1342 (33.08%)","767 / 16508 (4.65%)"
"ENSG00000182162","P2RY8","P2Y receptor family member 8","Xp22.33","protein_coding",16,1131,1.41,232,16508,1.41,1342,0,0,0,0,16,"Cancer Gene Census","16 / 1131 (1.41%)","0 / 1342 (0%)","0 / 1342 (0%)","232 / 16508 (1.41%)"
"ENSG00000185008","ROBO2","roundabout guidance receptor 2","3p12.3","protein_coding",16,1131,1.41,670,16508,4.06,1342,41,3.06,80,5.96,19,"Cancer Gene Census","16 / 1131 (1.41%)","41 / 1342 (3.06%)","80 / 1342 (5.96%)","670 / 16508 (4.06%)"
"ENSG00000198793","MTOR","mechanistic target of rapamycin kinase","1p36.22","protein_coding",16,1131,1.41,517,16508,3.13,1342,54,4.02,295,21.98,17,"Cancer Gene Census","16 / 1131 (1.41%)","54 / 1342 (4.02%)","295 / 1342 (21.98%)","517 / 16508 (3.13%)"
"ENSG00000104517","UBR5","ubiquitin protein ligase E3 component n-recognin 5","8q22.3","protein_coding",15,1131,1.33,560,16508,3.39,1342,116,8.64,43,3.2,22,"Cancer Gene Census","15 / 1131 (1.33%)","116 / 1342 (8.64%)","43 / 1342 (3.2%)","560 / 16508 (3.39%)"
"ENSG00000108821","COL1A1","collagen type I alpha 1 chain","17q21.33","protein_coding",15,1131,1.33,384,16508,2.33,1342,51,3.8,47,3.5,20,"Cancer Gene Census","15 / 1131 (1.33%)","51 / 1342 (3.8%)","47 / 1342 (3.5%)","384 / 16508 (2.33%)"
"ENSG00000111087","GLI1","GLI family zinc finger 1","12q13.3","protein_coding",15,1131,1.33,328,16508,1.99,1342,109,8.12,87,6.48,17,"Cancer Gene Census","15 / 1131 (1.33%)","109 / 1342 (8.12%)","87 / 1342 (6.48%)","328 / 16508 (1.99%)"
"ENSG00000124181","PLCG1","phospholipase C gamma 1","20q12","protein_coding",15,1131,1.33,255,16508,1.54,1342,283,21.09,17,1.27,13,"Cancer Gene Census","15 / 1131 (1.33%)","283 / 1342 (21.09%)","17 / 1342 (1.27%)","255 / 16508 (1.54%)"
"ENSG00000127152","BCL11B","BAF chromatin remodeling complex subunit BCL11B","14q32.2","protein_coding",15,1131,1.33,352,16508,2.13,1342,10,0.75,288,21.46,17,"Cancer Gene Census","15 / 1131 (1.33%)","10 / 1342 (0.75%)","288 / 1342 (21.46%)","352 / 16508 (2.13%)"
"ENSG00000147130","ZMYM3","zinc finger MYM-type containing 3","Xq13.1","protein_coding",15,1131,1.33,323,16508,1.96,1342,0,0,0,0,17,"Cancer Gene Census","15 / 1131 (1.33%)","0 / 1342 (0%)","0 / 1342 (0%)","323 / 16508 (1.96%)"
"ENSG00000147724","FAM135B","family with sequence similarity 135 member B","8q24.23","protein_coding",15,1131,1.33,953,16508,5.77,1342,122,9.09,62,4.62,17,"Cancer Gene Census","15 / 1131 (1.33%)","122 / 1342 (9.09%)","62 / 1342 (4.62%)","953 / 16508 (5.77%)"
"ENSG00000185811","IKZF1","IKAROS family zinc finger 1","7p12.2","protein_coding",15,1131,1.33,338,16508,2.05,1342,708,52.76,11,0.82,15,"Cancer Gene Census","15 / 1131 (1.33%)","708 / 1342 (52.76%)","11 / 1342 (0.82%)","338 / 16508 (2.05%)"
"ENSG00000044524","EPHA3","EPH receptor A3","3p11.1","protein_coding",14,1131,1.24,526,16508,3.19,1342,41,3.06,72,5.37,14,"Cancer Gene Census","14 / 1131 (1.24%)","41 / 1342 (3.06%)","72 / 1342 (5.37%)","526 / 16508 (3.19%)"
"ENSG00000046889","PREX2","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2","8q13.2","protein_coding",14,1131,1.24,699,16508,4.23,1342,74,5.51,54,4.02,20,"Cancer Gene Census","14 / 1131 (1.24%)","74 / 1342 (5.51%)","54 / 1342 (4.02%)","699 / 16508 (4.23%)"
"ENSG00000049618","ARID1B","AT-rich interaction domain 1B","6q25.3","protein_coding",14,1131,1.24,479,16508,2.9,1342,13,0.97,260,19.37,18,"Cancer Gene Census","14 / 1131 (1.24%)","13 / 1342 (0.97%)","260 / 1342 (19.37%)","479 / 16508 (2.9%)"
"ENSG00000051341","POLQ","DNA polymerase theta","3q13.33","protein_coding",14,1131,1.24,530,16508,3.21,1342,40,2.98,86,6.41,18,"Cancer Gene Census","14 / 1131 (1.24%)","40 / 1342 (2.98%)","86 / 1342 (6.41%)","530 / 16508 (3.21%)"
"ENSG00000079112","CDH17","cadherin 17","8q22.1","protein_coding",14,1131,1.24,264,16508,1.6,1342,105,7.82,47,3.5,16,"Cancer Gene Census","14 / 1131 (1.24%)","105 / 1342 (7.82%)","47 / 1342 (3.5%)","264 / 16508 (1.6%)"
"ENSG00000101096","NFATC2","nuclear factor of activated T cells 2","20q13.2","protein_coding",14,1131,1.24,327,16508,1.98,1342,284,21.16,21,1.56,17,"Cancer Gene Census","14 / 1131 (1.24%)","284 / 1342 (21.16%)","21 / 1342 (1.56%)","327 / 16508 (1.98%)"
